Antibody	Beta_Effect	Gamma_Effect	Power_beta_true	Power_beta_hard	Power_beta_soft	Bias_beta_true	Bias_beta_hard	Bias_beta_soft	MSE_beta_true	MSE_beta_hard	MSE_beta_soft	Power_gamma_true	Power_gamma_hard	Power_gamma_soft	Bias_gamma_true	Bias_gamma_hard	Bias_gamma_soft	MSE_gamma_true	MSE_gamma_hard	MSE_gamma_soft
cmv_pp150	-0.25	-0.1	0.9	0.4	0.7	0.026967741166413983	0.10511474106171045	0.1092972548430399	0.0029644610113035885	0.014043780371853304	0.013835926082105923	0.8	0.7	0.9	0.00503445935650178	0.053117676477890285	0.04739627706781537	9.338096856773422e-4	0.0030687607877331663	0.0024658782094995045
cmv_pp150	-0.25	-0.05	0.9	0.2	0.3	0.02172481964194019	0.16608215000584195	0.16250124592086923	0.002756990591422019	0.03398234836382209	0.030420723808019197	0.2	0.4	0.4	-0.0023099618648546494	0.01604374873269444	0.014042737287070606	6.405775128552817e-4	5.727670332185626e-4	3.617239355467339e-4
cmv_pp150	-0.25	0	1	0.1	0.2	-0.02229029681927707	0.18184910594190964	0.18629041644601044	0.0030170251918380277	0.0364620016905918	0.037059854705388626	0.1	0.1	0.1	0.009941313881936366	-0.004468181710008079	-0.005858478891607839	0.0013529823699997227	6.727968898853001e-4	5.593111135973076e-4
cmv_pp150	-0.25	0.05000000000000002	0.6	0	0	0.03840189982942489	0.20386078992983198	0.2418163785783572	0.007218518110361183	0.04554818298242655	0.06062654761990789	0.2	0.3	0.4	-0.009050854573412618	-0.016519641041971265	-0.022634071973324725	0.001966115908060807	5.281349057221063e-4	8.145145445671304e-4
cmv_pp150	-0.25	0.1	0.7	0	0	0.033448455800889246	0.28894716838554696	0.299952564094816	0.0059205856080676135	0.08706750578125826	0.0920717621206307	1	0.4	0.6	0.014968948914251764	-0.05463989147789586	-0.05153001504658068	0.0013032357343993309	0.003569092202793485	0.003064146621510121
cmv_pp150	-0.125	-0.1	0.4	0.4	0.6	0.009949771397426107	-0.013782300369074655	-0.008169863364386638	0.00734073519052268	0.003729083932856775	0.0026013304989574875	0.8	0.2	0.6	0.0055625037450837715	0.0655696057252773	0.06080819202968835	5.009031044347322e-4	0.004557841408194857	0.0038664505697343764
cmv_pp150	-0.125	-0.05	0.3	0.2	0.3	0.012975989029348533	0.032329374073633614	0.04384798029923791	0.006131790847978365	0.004985338480144008	0.004581677060271645	0.2	0.1	0.2	0.006554010181670153	0.03300546987391108	0.02879672787665936	7.910502288382728e-4	0.0016569203171275622	0.0013499737136261486
cmv_pp150	-0.125	0	0.4	0.1	0.1	0.019802254628048983	0.09901937568788184	0.0978575933343096	0.00455692352403096	0.019496070030580032	0.014821956159558822	0	0	0	-0.007991513396100484	0.001915167683471251	0.0031753854352446925	7.526858052274816e-4	5.398609416173508e-4	4.306972102525366e-4
cmv_pp150	-0.125	0.05000000000000002	0.2	0	0.1	0.039859965577796426	0.12474581929306794	0.13593927083000093	0.010131104279029237	0.020172182945095183	0.02303129880841529	0.2	0.3	0.4	-0.010144483498371493	-0.028062683843291192	-0.02652836149211118	0.0021899382801565267	0.0013219402408793884	0.0011403319212427798
cmv_pp150	-0.125	0.1	0.6	0.1	0.1	-0.04692870100219024	0.12968268161601287	0.15727441362707067	0.008571913524230654	0.0223891642358865	0.028139273182529675	0.7	0.6	0.7	-0.012127308622645293	-0.058398884789059184	-0.05892838510761075	0.0014261684724235413	0.0036477310544841862	0.003737997272476477
